season,round,driver,driver_points_after_race,driver_wins_after_race,driver_standings_pos_after_race,driver_points,driver_wins,driver_standings_pos
2014,1,rosberg,25.0,1,1,0.0,0.0,0.0
2014,1,kevin_magnussen,18.0,0,2,0.0,0.0,0.0
2014,1,button,15.0,0,3,0.0,0.0,0.0
2014,1,alonso,12.0,0,4,0.0,0.0,0.0
2014,1,bottas,10.0,0,5,0.0,0.0,0.0
2014,1,hulkenberg,8.0,0,6,0.0,0.0,0.0
2014,1,raikkonen,6.0,0,7,0.0,0.0,0.0
2014,1,vergne,4.0,0,8,0.0,0.0,0.0
2014,1,kvyat,2.0,0,9,0.0,0.0,0.0
2014,1,perez,1.0,0,10,0.0,0.0,0.0
2014,1,sutil,0.0,0,11,0.0,0.0,0.0
2014,1,gutierrez,0.0,0,12,0.0,0.0,0.0
2014,1,chilton,0.0,0,13,0.0,0.0,0.0
2014,1,jules_bianchi,0.0,0,14,0.0,0.0,0.0
2014,1,grosjean,0.0,0,15,0.0,0.0,0.0
2014,1,maldonado,0.0,0,16,0.0,0.0,0.0
2014,1,ericsson,0.0,0,17,0.0,0.0,0.0
2014,1,vettel,0.0,0,18,0.0,0.0,0.0
2014,1,hamilton,0.0,0,19,0.0,0.0,0.0
2014,1,massa,0.0,0,20,0.0,0.0,0.0
2014,1,kobayashi,0.0,0,21,0.0,0.0,0.0
2014,1,ricciardo,0.0,0,22,0.0,0.0,0.0
2014,2,rosberg,43.0,1,1,25.0,1.0,1.0
2014,2,hamilton,25.0,1,2,0.0,0.0,19.0
2014,2,alonso,24.0,0,3,12.0,0.0,4.0
2014,2,button,23.0,0,4,15.0,0.0,3.0
2014,2,kevin_magnussen,20.0,0,5,18.0,0.0,2.0
2014,2,hulkenberg,18.0,0,6,8.0,0.0,6.0
2014,2,vettel,15.0,0,7,0.0,0.0,18.0
2014,2,bottas,14.0,0,8,10.0,0.0,5.0
2014,2,raikkonen,6.0,0,9,6.0,0.0,7.0
2014,2,massa,6.0,0,10,0.0,0.0,20.0
2014,2,vergne,4.0,0,11,4.0,0.0,8.0
2014,2,kvyat,3.0,0,12,2.0,0.0,9.0
2014,2,perez,1.0,0,13,1.0,0.0,10.0
2014,2,grosjean,0.0,0,14,0.0,0.0,15.0
2014,2,sutil,0.0,0,15,0.0,0.0,11.0
2014,2,gutierrez,0.0,0,16,0.0,0.0,12.0
2014,2,chilton,0.0,0,17,0.0,0.0,13.0
2014,2,kobayashi,0.0,0,18,0.0,0.0,21.0
2014,2,ericsson,0.0,0,19,0.0,0.0,17.0
2014,2,jules_bianchi,0.0,0,20,0.0,0.0,14.0
2014,2,maldonado,0.0,0,21,0.0,0.0,16.0
2014,2,ricciardo,0.0,0,22,0.0,0.0,22.0
2014,3,rosberg,61.0,1,1,43.0,1.0,1.0
2014,3,hamilton,50.0,2,2,25.0,1.0,2.0
2014,3,hulkenberg,28.0,0,3,18.0,0.0,6.0
2014,3,alonso,26.0,0,4,24.0,0.0,3.0
2014,3,button,23.0,0,5,23.0,0.0,4.0
2014,3,vettel,23.0,0,6,15.0,0.0,7.0
2014,3,kevin_magnussen,20.0,0,7,20.0,0.0,5.0
2014,3,bottas,18.0,0,8,14.0,0.0,8.0
2014,3,perez,16.0,0,9,1.0,0.0,13.0
2014,3,ricciardo,12.0,0,10,0.0,0.0,22.0
2014,3,massa,12.0,0,11,6.0,0.0,10.0
2014,3,raikkonen,7.0,0,12,6.0,0.0,9.0
2014,3,vergne,4.0,0,13,4.0,0.0,11.0
2014,3,kvyat,3.0,0,14,3.0,0.0,12.0
2014,3,grosjean,0.0,0,15,0.0,0.0,14.0
2014,3,sutil,0.0,0,16,0.0,0.0,15.0
2014,3,gutierrez,0.0,0,17,0.0,0.0,16.0
2014,3,chilton,0.0,0,18,0.0,0.0,17.0
2014,3,kobayashi,0.0,0,19,0.0,0.0,18.0
2014,3,maldonado,0.0,0,20,0.0,0.0,21.0
2014,3,ericsson,0.0,0,21,0.0,0.0,19.0
2014,3,jules_bianchi,0.0,0,22,0.0,0.0,20.0
2014,4,rosberg,79.0,1,1,61.0,1.0,1.0
2014,4,hamilton,75.0,3,2,50.0,2.0,2.0
2014,4,alonso,41.0,0,3,26.0,0.0,4.0
2014,4,hulkenberg,36.0,0,4,28.0,0.0,3.0
2014,4,vettel,33.0,0,5,23.0,0.0,6.0
2014,4,ricciardo,24.0,0,6,12.0,0.0,10.0
2014,4,bottas,24.0,0,7,18.0,0.0,8.0
2014,4,button,23.0,0,8,23.0,0.0,5.0
2014,4,kevin_magnussen,20.0,0,9,20.0,0.0,7.0
2014,4,perez,18.0,0,10,16.0,0.0,9.0
2014,4,massa,12.0,0,11,12.0,0.0,11.0
2014,4,raikkonen,11.0,0,12,7.0,0.0,12.0
2014,4,vergne,4.0,0,13,4.0,0.0,13.0
2014,4,kvyat,4.0,0,14,3.0,0.0,14.0
2014,4,grosjean,0.0,0,15,0.0,0.0,15.0
2014,4,sutil,0.0,0,16,0.0,0.0,16.0
2014,4,gutierrez,0.0,0,17,0.0,0.0,17.0
2014,4,chilton,0.0,0,18,0.0,0.0,18.0
2014,4,kobayashi,0.0,0,19,0.0,0.0,19.0
2014,4,maldonado,0.0,0,20,0.0,0.0,20.0
2014,4,ericsson,0.0,0,21,0.0,0.0,21.0
2014,4,jules_bianchi,0.0,0,22,0.0,0.0,22.0
2014,5,hamilton,100.0,4,1,75.0,3.0,2.0
2014,5,rosberg,97.0,1,2,79.0,1.0,1.0
2014,5,alonso,49.0,0,3,41.0,0.0,3.0
2014,5,vettel,45.0,0,4,33.0,0.0,5.0
2014,5,ricciardo,39.0,0,5,24.0,0.0,6.0
2014,5,hulkenberg,37.0,0,6,36.0,0.0,4.0
2014,5,bottas,34.0,0,7,24.0,0.0,7.0
2014,5,button,23.0,0,8,23.0,0.0,8.0
2014,5,kevin_magnussen,20.0,0,9,20.0,0.0,9.0
2014,5,perez,20.0,0,10,18.0,0.0,10.0
2014,5,raikkonen,17.0,0,11,11.0,0.0,12.0
2014,5,massa,12.0,0,12,12.0,0.0,11.0
2014,5,grosjean,4.0,0,13,0.0,0.0,15.0
2014,5,vergne,4.0,0,14,4.0,0.0,13.0
2014,5,kvyat,4.0,0,15,4.0,0.0,14.0
2014,5,sutil,0.0,0,16,0.0,0.0,16.0
2014,5,gutierrez,0.0,0,17,0.0,0.0,17.0
2014,5,chilton,0.0,0,18,0.0,0.0,18.0
2014,5,kobayashi,0.0,0,19,0.0,0.0,19.0
2014,5,maldonado,0.0,0,20,0.0,0.0,20.0
2014,5,ericsson,0.0,0,21,0.0,0.0,21.0
